Date,Vanguard LifeStrategy Income Fund (VASIX),Vanguard Total World Stock ETF (VT),PIMCO 25+ Year Zero Coupon US Trs ETF (ZROZ),AQR Diversified Arbitrage I (ADAIX),iShares Gold Trust (IAU),Bitcoin Market Price USD (^BTC),AQR Risk-Balanced Commodities Strategy I (ARCIX),AQR Long-Short Equity I (QLEIX),AQR Style Premia Alternative I (QSPIX),AQR Equity Market Neutral I (QMNIX),AQR Macro Opportunities I (QGMIX),AGF U.S. Market Neutral Anti-Beta (BTAL),AQR Managed Futures Strategy HV I (QMHIX),Invesco DB US Dollar Bullish (UUP),ProShares VIX Mid-Term Futures (VIXM)
11/30/2014,0.0094,0.0126,0.0414,-0.0066,-0.0053,0.0969,-0.0726,0.0248,0.0412,0.0257,0.0154,0.0235,0.1159,0.0165,-0.0298
12/31/2014,-0.0005,-0.0199,0.0612,-0.0117,0.0133,-0.1777,-0.0412,0.0140,0.0002,0.0195,0.0039,0.0294,0.0461,0.0213,0.0553
1/31/2015,0.0141,-0.0163,0.1600,-0.0059,0.0865,-0.2677,-0.0287,0.0156,-0.0112,0.0290,-0.0070,0.0320,0.0721,0.0484,0.0762
2/28/2015,0.0033,0.0595,-0.1007,0.0069,-0.0579,0.1062,0.0044,0.0236,-0.0390,-0.0078,0.0091,-0.0568,-0.0108,0.0028,-0.1145
3/31/2015,0.0018,-0.0121,0.0117,0.0000,-0.0222,-0.0150,-0.0573,-0.0027,0.0256,0.0049,0.0261,0.0000,0.0655,0.0278,0.0033
4/30/2015,0.0000,0.0255,-0.0568,0.0079,-0.0009,-0.0860,0.0576,-0.0160,-0.0146,-0.0234,-0.0127,-0.0403,-0.0489,-0.0382,-0.0485
5/31/2015,-0.0026,0.0033,-0.0417,-0.0049,0.0061,0.0325,-0.0589,0.0388,0.0327,0.0429,0.0040,-0.0047,-0.0025,0.0221,-0.0607
6/30/2015,-0.0127,-0.0222,-0.0671,-0.0049,-0.0148,0.1074,-0.0016,-0.0148,-0.0061,-0.0010,-0.0207,-0.0151,-0.0748,-0.0169,-0.0053
7/31/2015,0.0088,0.0050,0.0717,-0.0138,-0.0670,0.1098,-0.0705,0.0467,0.0216,0.0344,0.0212,0.0539,0.0314,0.0160,-0.0690
8/31/2015,-0.0161,-0.0663,-0.0091,-0.0050,0.0378,-0.2077,-0.0034,-0.0278,-0.0050,0.0065,-0.0079,0.0251,0.0209,-0.0145,0.2547
