Date,Mkt-RF,SMB,HML,RF
11/30/2014,2.55,-2.06,-3.1,0
12/31/2014,-0.06,2.49,2.27,0
1/31/2015,-3.11,-0.56,-3.59,0
2/28/2015,6.13,0.63,-1.86,0
3/31/2015,-1.12,3.04,-0.38,0
4/30/2015,0.59,-3.06,1.82,0
5/31/2015,1.36,0.94,-1.15,0
6/30/2015,-1.53,2.91,-0.79,0
7/31/2015,1.54,-4.17,-4.13,0
8/31/2015,-6.04,0.33,2.77,0
9/30/2015,-3.07,-2.62,0.56,0
10/31/2015,7.75,-1.89,-0.46,0
11/30/2015,0.57,3.59,-0.42,0
12/31/2015,-2.17,-2.85,-2.61,0.01
1/31/2016,-5.77,-3.42,2.09,0.01
2/29/2016,-0.07,0.74,-0.57,0.02
3/31/2016,6.96,0.82,1.19,0.02
4/30/2016,0.91,0.76,3.28,0.01
5/31/2016,1.78,-0.17,-1.66,0.01
6/30/2016,-0.05,0.61,-1.48,0.02
7/31/2016,3.95,2.49,-1.32,0.02
8/31/2016,0.49,1.16,3.18,0.02
9/30/2016,0.25,2.12,-1.24,0.02
10/31/2016,-2.02,-4.4,4.09,0.02
11/30/2016,4.86,5.71,8.21,0.01
12/31/2016,1.82,0.1,3.53,0.03
1/31/2017,1.94,-1.18,-2.75,0.04
2/28/2017,3.57,-2.05,-1.67,0.04
3/31/2017,0.17,1.14,-3.35,0.03
4/30/2017,1.09,0.73,-2.13,0.05
5/31/2017,1.06,-2.57,-3.78,0.06
6/30/2017,0.78,2.25,1.48,0.06
7/31/2017,1.87,-1.5,-0.31,0.07
8/31/2017,0.16,-1.67,-2.1,0.09
9/30/2017,2.51,4.47,3.12,0.09
10/31/2017,2.25,-1.94,0.19,0.09
11/30/2017,3.12,-0.54,-0.03,0.08
12/31/2017,1.06,-1.32,0.06,0.09
1/31/2018,5.57,-3.12,-1.28,0.12
2/28/2018,-3.65,0.26,-1.04,0.11
3/31/2018,-2.35,4.06,-0.2,0.11
4/30/2018,0.29,1.13,0.54,0.14
5/31/2018,2.65,5.26,-3.22,0.14
6/30/2018,0.48,1.14,-2.33,0.14
7/31/2018,3.19,-2.22,0.45,0.16
8/31/2018,3.44,1.15,-4,0.16
9/30/2018,0.06,-2.29,-1.71,0.15
10/31/2018,-7.68,-4.74,3.4,0.19
11/30/2018,1.69,-0.68,0.28,0.18
12/31/2018,-9.57,-2.37,-1.88,0.2
1/31/2019,8.4,2.88,-0.45,0.21
2/28/2019,3.4,2.06,-2.71,0.18
3/31/2019,1.1,-3.05,-4.12,0.19
4/30/2019,3.97,-1.72,2.16,0.21
5/31/2019,-6.94,-1.31,-2.37,0.21
